brand,model,screen_size,color,cpu,OS,cpu_speed,rating,price,cpu_mfr,graphics_type,graphics_mfr,harddisk_gb,ram_gb,sf_backlit_keyboard,sf_pen,sf_anti_glare,sf_memory_card_slot,sf_hd_audio,sf_numeric_keypad,sf_fingerprint_reader,sf_thin_bezel,sf_bluetooth
dell,Chromebook 11,11,Black,celeron,Chrome OS,,4.0,57.99,intel,integrated,,16.0,4.0,False,False,False,False,False,False,False,False,False
hp,HP Chromebook 11,11.6,Black,celeron,Chrome OS,,4.0,69.82,intel,integrated,,,4.0,False,False,False,False,False,False,False,False,False
hp,HP Chromebook 11,11.6,Black,celeron,Chrome OS,,4.0,75.0,intel,integrated,,16.0,4.0,False,False,False,False,False,False,False,False,False
dell,Latitude,14.1,Black,core 2,Windows(Other),,4.0,84.54,intel,integrated,,300.0,2.0,False,False,False,False,False,False,False,False,False
samsung,XE303C12,11.6,Silver,,Chrome OS,,4.0,85.0,nan,integrated,,16.0,2.0,False,False,False,False,False,False,False,False,False
dell,Latitude E6400,14.1,Silver,core 2,Windows(Other),2.53,4.0,89.99,intel,discrete,,160.0,,False,False,False,False,False,False,False,False,False
dell,Latitude E6400,14.1,Silver,core 2,Windows(Other),2.53,4.0,89.99,intel,discrete,,160.0,,False,False,False,False,False,False,False,False,False
acer,Chromebook,15.6,Black,celeron,Chrome OS,1.5,4.0,93.99,intel,integrated,,,4.0,False,False,False,False,False,False,False,False,False
hp,HP Chromebook,16,Chalkboard Gray,amd a,Chrome OS,,4.0,94.98,amd,discrete,,32.0,4.0,False,False,False,False,False,False,False,False,False
dell,Dell Latitude,14,,i3,Windows(Other),2.4,3.0,99.99,intel,integrated,,320.0,2.0,False,False,False,False,False,False,False,False,False
lenovo,,14.1,,,Other,,5.0,109.0,nan,integrated,,160.0,,False,False,False,False,False,False,False,False,False
hp,HP EliteBook,14,Silver,i5,Windows 10 Pro,,4.0,109.0,intel,integrated,,320.0,4.0,False,False,False,False,False,False,False,False,False
latitude,Latitude E6410,14,Silver,i3,Windows(Other),2.4,3.0,111.05,intel,integrated,,128.0,8.0,False,False,False,False,False,False,False,False,False
lenovo,Chromebook,11.6,Black,mt8183,Chrome OS,,4.0,114.74,mediatek,integrated,,32.0,4.0,False,False,False,False,False,False,False,False,False
lenovo,T420,14,,i5,Windows(Other),,4.0,119.0,intel,integrated,,320.0,4.0,False,False,False,False,False,False,False,False,False
